experiment,epoch,target_epochs,elapsed_min,evaluated,best_mAP50-95,stale_epochs,train_loss,class_loss,box_loss,train_batches,mAP50,mAP50-95,P,R,F1,best_conf_threshold
effdet_d0_tuned_512_es,1,50,38.614548563957214,False,-1.0,0,0.8731555817671764,0.6523897756029058,0.0044153161766582,810,,,,,,
effdet_d0_tuned_512_es,2,50,36.05476847489675,False,-1.0,0,0.5927192494825081,0.4105066586423803,0.0036442517935309,810,,,,,,
effdet_d0_tuned_512_es,3,50,35.687528840700786,False,-1.0,0,0.5124923799876814,0.3473257631063461,0.0033033323304635,810,,,,,,
effdet_d0_tuned_512_es,4,50,35.784562571843466,False,-1.0,0,0.4667769327943707,0.3132525063223309,0.003070488539783,810,,,,,,
effdet_d0_tuned_512_es,5,50,41.31311448017756,True,17.48137204214554,0,0.4326856235663096,0.2892513935580665,0.0028686846199698,810,29.925674953154253,17.48137204214554,82.73905996758509,53.18400833441854,64.7483154974237,0.38
effdet_d0_tuned_512_es,6,50,35.8253667195638,False,17.48137204214554,0,0.4059999974421513,0.2707400559643168,0.0027051988251817,810,,,,,,
effdet_d0_tuned_512_es,7,50,35.93825543721517,False,17.48137204214554,0,0.3872193798974708,0.2574055664149332,0.0025962762615103,810,,,,,,
effdet_d0_tuned_512_es,8,50,36.851321681340536,False,17.48137204214554,0,0.368944838569488,0.2453229328180536,0.0024724381081874,810,,,,,,
effdet_d0_tuned_512_es,9,50,35.70189210971196,False,17.48137204214554,0,0.355480123154911,0.2357264395665239,0.0023950736644896,810,,,,,,
effdet_d0_tuned_512_es,10,50,40.94870448907216,True,20.84085996710218,0,0.3440972980157828,0.2283498337607324,0.0023149492789669,810,35.759314284597885,20.84085996710218,83.862355384159,55.22203411902592,66.59338070747124,0.4
effdet_d0_tuned_512_es,11,50,35.71676938931147,False,20.84085996710218,0,0.3309888711866037,0.2199343182238531,0.0022210910475099,810,,,,,,
effdet_d0_tuned_512_es,12,50,35.69626594384511,False,20.84085996710218,0,0.3200318539584124,0.2127201261895674,0.0021462345551153,810,,,,,,
effdet_d0_tuned_512_es,13,50,35.89420284032822,False,20.84085996710218,0,0.3122109354830082,0.2078580383901243,0.0020870579505787,810,,,,,,
effdet_d0_tuned_512_es,14,50,36.6821168144544,False,20.84085996710218,0,0.3020001491462742,0.2006025436851713,0.0020279521174314,810,,,,,,
effdet_d0_tuned_512_es,15,50,42.147685289382935,True,22.12497255051478,0,0.2961156256588889,0.1966509513464975,0.0019892934896626,810,38.39545326016322,22.12497255051478,84.48327508736895,55.09180882927465,66.69294131557167,0.42
effdet_d0_tuned_512_es,16,50,35.532807143529254,False,22.12497255051478,0,0.2882648948718,0.1917922214225486,0.0019294534706407,810,,,,,,
