experiment,epoch,target_epochs,elapsed_min,evaluated,best_mAP50-95,stale_epochs,train_loss,class_loss,box_loss,train_batches,mAP50,mAP50-95,P,R,F1,best_conf_threshold
effdet_d0_baseline_512,1,20,34.485673852761586,False,-1.0,0,0.7992224360689705,0.5827854958949266,0.0043287388100806,810,,,,,,
effdet_d0_baseline_512,2,20,37.79224632581075,False,-1.0,0,0.5608166895162912,0.3805226379706535,0.0036058810211856,810,,,,,,
effdet_d0_baseline_512,3,20,36.8529545823733,False,-1.0,0,0.4939736775410028,0.3297914763843572,0.0032836440298131,810,,,,,,
effdet_d0_baseline_512,4,20,37.69283849000931,False,-1.0,0,0.4525997497049379,0.3002781650534382,0.0030464316886435,810,,,,,,
effdet_d0_baseline_512,5,20,46.43112101554871,True,18.64639791732667,0,0.4242783798847669,0.280608202866566,0.0028734035426348,810,32.39885948457901,18.64639791732667,81.43316132801091,54.46021617398099,65.26981154161302,0.36
effdet_d0_baseline_512,6,20,32.632224214077,False,18.64639791732667,0,0.4011352784103817,0.2650708632888617,0.0027212882826944,810,,,,,,
effdet_d0_baseline_512,7,20,33.58063595692317,False,18.64639791732667,0,0.3791332994714195,0.2504676532414224,0.0025733129247839,810,,,,,,
effdet_d0_baseline_512,8,20,34.05038071870804,False,18.64639791732667,0,0.3627398728956411,0.2391198206095048,0.002472401042555,810,,,,,,
effdet_d0_baseline_512,9,20,34.025898321469626,False,18.64639791732667,0,0.3494003064838457,0.2305581773872728,0.0023768425804137,810,,,,,,
effdet_d0_baseline_512,10,20,57.68738293647766,True,21.18469531371149,0,0.3387106996627501,0.2230531665462034,0.002313150648591,810,36.9481454825579,21.18469531371149,83.07140085370585,55.75595780700612,66.72640847814229,0.38
effdet_d0_baseline_512,11,20,41.35822685162226,False,21.18469531371149,0,0.328424320894259,0.2164396141782219,0.0022396941328662,810,,,,,,
effdet_d0_baseline_512,12,20,46.19655574560166,False,21.18469531371149,0,0.3172454041647322,0.209370564163467,0.0021574967930288,810,,,,,,
effdet_d0_baseline_512,13,20,47.11237870454788,False,21.18469531371149,0,0.3104087174306681,0.2048882427958794,0.0021104094930234,810,,,,,,
effdet_d0_baseline_512,14,20,46.97722555398941,False,21.18469531371149,0,0.3009910772979995,0.1986525941962077,0.00204676967531,810,,,,,,
effdet_d0_baseline_512,15,20,58.824234680334726,True,22.81335913613083,0,0.2962807855488341,0.1954936057697107,0.0020157435907476,810,39.75068451607255,22.81335913613083,85.7200647249191,55.18947779658809,67.14727085478889,0.4
effdet_d0_baseline_512,16,20,40.856856660048166,False,22.81335913613083,0,0.2703545400573883,0.1793619950336438,0.0018198508856944,810,,,,,,
effdet_d0_baseline_512,17,20,37.52650289932887,False,22.81335913613083,0,0.2845860595872372,0.1880822968703729,0.0019300752493299,810,,,,,,
effdet_d0_baseline_512,18,20,38.15086543162664,False,22.81335913613083,0,0.2782872205899085,0.1836959041195151,0.001891826333501,810,,,,,,
effdet_d0_baseline_512,19,20,34.61123791138331,False,22.81335913613083,0,0.2709313550297125,0.1790743929736408,0.0018371392395002,810,,,,,,
effdet_d0_baseline_512,20,20,45.47271619637807,True,23.571443183398607,0,0.2672160074298764,0.1762443687260886,0.0018194327711553,810,40.39986001168964,23.571443183398607,81.43977849561605,57.45539783826019,67.37678005574008,0.38
effdet_d0_baseline_512,21,50,26.88532818158468,False,23.571443183398607,0,0.2407593588034312,0.159938155942493,0.0016164240441687,405,,,,,,
