experiment,epoch,target_epochs,elapsed_min,evaluated,best_mAP50-95,stale_epochs,train_loss,class_loss,box_loss,train_batches,mAP50,mAP50-95,P,R,F1,best_conf_threshold
effdet_d0_zoom_crop_512_es,1,50,67.98743402163187,False,-1.0,0,0.8807135696764345,0.6579720244363502,0.0044548308974085,810,,,,,,
effdet_d0_zoom_crop_512_es,2,50,67.7698480129242,False,-1.0,0,0.6062078411564414,0.4156398821024247,0.0038113591775735,810,,,,,,
effdet_d0_zoom_crop_512_es,3,50,67.33517598311106,False,-1.0,0,0.5401283939679463,0.3614330114589797,0.0035739076631373,810,,,,,,
effdet_d0_zoom_crop_512_es,4,50,67.21513739824294,False,-1.0,0,0.4997685343762975,0.330247449727706,0.0033904216973754,810,,,,,,
effdet_d0_zoom_crop_512_es,5,50,78.55442932844161,True,18.68780706781067,0,0.4755297249482001,0.3124973694667404,0.003260647114165,810,31.882069137458465,18.68780706781067,82.33786713975951,54.39510352910535,65.51129234629862,0.36
effdet_d0_zoom_crop_512_es,6,50,68.09263793627422,False,18.68780706781067,0,0.4559470418058796,0.2972649541350058,0.0031736417476628,810,,,,,,
effdet_d0_zoom_crop_512_es,7,50,64.87248292366664,False,18.68780706781067,0,0.4397072379971728,0.2863534644981961,0.0030670754605743,810,,,,,,
effdet_d0_zoom_crop_512_es,8,50,44.88483539422353,False,18.68780706781067,0,0.4246604471294968,0.276127715445595,0.0029706546378517,810,,,,,,
effdet_d0_zoom_crop_512_es,9,50,67.38568478425344,False,18.68780706781067,0,0.4145452710581414,0.2681698583894306,0.0029275082671198,810,,,,,,
effdet_d0_zoom_crop_512_es,10,50,79.43332912524541,True,21.67408474925429,0,0.4050067835383945,0.2620495599729043,0.0028591444737415,810,37.22652116027344,21.67408474925429,84.77062413860996,56.06849850240917,67.4949051575482,0.38
effdet_d0_zoom_crop_512_es,11,50,68.18341411749522,False,21.67408474925429,0,0.3954806845865132,0.2558427474748941,0.0027927587354946,810,,,,,,
effdet_d0_zoom_crop_512_es,12,50,68.02768300374349,False,21.67408474925429,0,0.3894105336548369,0.2516097985483982,0.0027560146949483,810,,,,,,
effdet_d0_zoom_crop_512_es,13,50,67.87459131081899,False,21.67408474925429,0,0.3829131830621649,0.2464739781103016,0.0027287841101901,810,,,,,,
effdet_d0_zoom_crop_512_es,14,50,48.95130355358124,False,21.67408474925429,0,0.3750651937392023,0.242259959085488,0.0026561046857099,810,,,,,,
effdet_d0_zoom_crop_512_es,15,50,48.860941569010414,True,23.28320412918137,0,0.3683606156964361,0.2370239899298291,0.0026267325133372,810,40.2180947658204,23.28320412918137,85.57209027298708,56.537309545513736,68.0886100764556,0.38
effdet_d0_zoom_crop_512_es,16,50,40.05481191476186,False,23.28320412918137,0,0.3620046216580603,0.2331087137629956,0.0025779181594075,810,,,,,,
effdet_d0_zoom_crop_512_es,17,50,38.28095875183741,False,23.28320412918137,0,0.3576962168937848,0.2303306177810386,0.0025473119831862,810,,,,,,
effdet_d0_zoom_crop_512_es,18,50,38.75117597182592,False,23.28320412918137,0,0.3528959384854929,0.2267552053670824,0.0025228146600169,810,,,,,,
effdet_d0_zoom_crop_512_es,19,50,38.53466614484787,False,23.28320412918137,0,0.3496739409588001,0.2250513704470646,0.0024924514072165,810,,,,,,
effdet_d0_zoom_crop_512_es,20,50,46.60264019171397,True,24.19005283733092,0,0.3458675876627733,0.2227724540012854,0.0024619026678717,810,41.43455073441305,24.19005283733092,84.42015209125475,57.82653991405131,68.63745266249323,0.38
effdet_d0_zoom_crop_512_es,21,50,40.03667120138804,False,24.19005283733092,0,0.3411859661708643,0.2190713010820341,0.0024422932968095,810,,,,,,
effdet_d0_zoom_crop_512_es,22,50,38.73532132705053,False,24.19005283733092,0,0.3359405312457202,0.2160379751596921,0.0023980511090844,810,,,,,,
effdet_d0_zoom_crop_512_es,23,50,40.08924425840378,False,24.19005283733092,0,0.3331573996095009,0.2144211348560121,0.0023747252893956,810,,,,,,
effdet_d0_zoom_crop_512_es,24,50,38.617984263102215,False,24.19005283733092,0,0.3327179919974303,0.2132257785326169,0.0023898442771665,810,,,,,,
effdet_d0_zoom_crop_512_es,25,50,46.5670489748319,True,24.87370135197412,0,0.3252552663102562,0.2092221279019191,0.0023206627762439,810,42.71404996654876,24.87370135197412,84.17565777020633,57.91118635238964,68.6159543280358,0.38
effdet_d0_zoom_crop_512_es,26,50,39.52647080818812,False,24.87370135197412,0,0.3236742921449519,0.2077163431195565,0.0023191589801744,810,,,,,,
effdet_d0_zoom_crop_512_es,27,50,67.52934005260468,False,24.87370135197412,0,0.3218230265894053,0.2062955353179095,0.002310549823228,810,,,,,,
effdet_d0_zoom_crop_512_es,28,50,66.2464443206787,False,24.87370135197412,0,0.3186864993638462,0.2041774584555331,0.002290180826094,810,,,,,,
effdet_d0_zoom_crop_512_es,29,50,68.58663222789764,False,24.87370135197412,0,0.3159927081546665,0.2027942847138569,0.0022639684606182,810,,,,,,
effdet_d0_zoom_crop_512_es,30,50,77.3863475561142,True,25.83681981683503,0,0.3141213354873068,0.2014980999959839,0.0022524647089871,810,44.61430157129686,25.83681981683503,83.08997992334368,59.285063159265526,69.19744642042863,0.36
effdet_d0_zoom_crop_512_es,31,50,67.48838248650233,False,25.83681981683503,0,0.3101884049029997,0.1988374307751655,0.0022270194785152,810,,,,,,
effdet_d0_zoom_crop_512_es,32,50,66.15604268709818,False,25.83681981683503,0,0.3087479690526739,0.1982108244373474,0.0022107428843787,810,,,,,,
effdet_d0_zoom_crop_512_es,33,50,66.49197999238967,False,25.83681981683503,0,0.3054041545884108,0.1961834496737998,0.002184414096395,810,,,,,,
effdet_d0_zoom_crop_512_es,34,50,65.58544552723566,False,25.83681981683503,0,0.3028003523931091,0.1941567002807134,0.0021728730527684,810,,,,,,
effdet_d0_zoom_crop_512_es,35,50,48.93737953503926,True,26.50158427240992,0,0.3010452805477895,0.1934933654136127,0.0021510382979119,810,45.227369035004976,26.50158427240992,84.48944828238857,58.13256934496679,68.87560270009642,0.38
effdet_d0_zoom_crop_512_es,36,50,41.467130704720816,False,26.50158427240992,0,0.2986122816617106,0.1917422405731531,0.0021374008233118,810,,,,,,
effdet_d0_zoom_crop_512_es,37,50,39.38193487723668,False,26.50158427240992,0,0.2974903952192377,0.1910544224175406,0.0021287194602651,810,,,,,,
effdet_d0_zoom_crop_512_es,38,50,39.9454815308253,False,26.50158427240992,0,0.2956966215261706,0.1895734409859151,0.0021224636184971,810,,,,,,
